,drug,CYP_l,CYP1A2_l,CYP3A4_l,CYP2C8_l,CYP2C9_l,cytochrome,CYP1A2,CYP3A4,CYP2C8,CYP2C9,year,count_pubmed,count_name,CYP1A2_norm_cyt,CYP1A2_norm_name,CYP1A2_norm_pubmed,CYP3A4_norm_cyt,CYP3A4_norm_name,CYP3A4_norm_pubmed,CYP2C8_norm_cyt,CYP2C8_norm_name,CYP2C8_norm_pubmed,CYP2C9_norm_cyt,CYP2C9_norm_name,CYP2C9_norm_pubmed,pubmed_count_full
667,MESALAMINE,2.0,0.0,1.0,0.0,0.0,591.0,143.0,448.0,72.0,130.0,1958.0,3803.0,22800.0,0.24196277495769883,0.006271929824561403,0.03760189324217723,0.7580372250423012,0.019649122807017545,0.1178017354719958,0.1218274111675127,0.003157894736842105,0.01893242177228504,0.21996615905245348,0.005701754385964913,0.03418353931107021,22800.0
668,MOMETASONE,1.0,0.0,1.0,0.0,0.0,353.0,81.0,234.0,47.0,81.0,1988.0,1051.0,19700.0,0.22946175637393768,0.004111675126903553,0.07706945765937202,0.6628895184135978,0.011878172588832487,0.2226450999048525,0.13314447592067988,0.002385786802030457,0.04471931493815414,0.22946175637393768,0.004111675126903553,0.07706945765937202,19700.0
669,MILRINONE,0.0,0.0,0.0,0.0,0.0,704.0,65.0,283.0,32.0,99.0,1983.0,2036.0,68900.0,0.09232954545454546,0.0009433962264150943,0.03192534381139489,0.40198863636363635,0.004107402031930334,0.13899803536345776,0.045454545454545456,0.0004644412191582003,0.015717092337917484,0.140625,0.001436865021770682,0.04862475442043222,68900.0
670,BECLOMETHASONE,2.0,0.0,1.0,0.0,0.0,740.0,132.0,424.0,65.0,140.0,1972.0,3127.0,41800.0,0.1783783783783784,0.003157894736842105,0.04221298369043812,0.572972972972973,0.01014354066985646,0.13559322033898305,0.08783783783783784,0.001555023923444976,0.02078669651423089,0.1891891891891892,0.0033492822966507177,0.04477134633834346,41800.0
671,KETOPROFEN,1.0,0.0,0.0,0.0,0.0,6580.0,1400.0,3010.0,340.0,2280.0,1973.0,4093.0,80200.0,0.2127659574468085,0.017456359102244388,0.3420473979965795,0.4574468085106383,0.03753117206982544,0.735401905692646,0.05167173252279635,0.004239401496259352,0.08306865379916932,0.3465045592705167,0.028428927680798004,0.5570486195944295,80200.0
672,IPRATROPIUM,0.0,0.0,0.0,0.0,0.0,1710.0,163.0,408.0,89.0,128.0,1975.0,2109.0,35300.0,0.09532163742690059,0.004617563739376771,0.07728781412991939,0.23859649122807017,0.011558073654390934,0.1934566145092461,0.052046783625730994,0.002521246458923513,0.04220009483167378,0.07485380116959064,0.0036260623229461757,0.06069227121858701,35300.0
673,FLURBIPROFEN,1.0,0.0,0.0,0.0,1.0,7500.0,2370.0,4690.0,787.0,4230.0,1974.0,2473.0,28900.0,0.316,0.08200692041522491,0.9583501819652245,0.6253333333333333,0.16228373702422144,1.8964820056611402,0.10493333333333334,0.027231833910034604,0.3182369591589163,0.564,0.1463667820069204,1.7104731095835017,28900.0
674,GUANFACINE,2.0,0.0,1.0,0.0,0.0,436.0,136.0,266.0,42.0,109.0,1977.0,950.0,14900.0,0.3119266055045872,0.00912751677852349,0.1431578947368421,0.6100917431192661,0.01785234899328859,0.28,0.0963302752293578,0.0028187919463087247,0.04421052631578947,0.25,0.007315436241610738,0.11473684210526315,14900.0
675,ALFENTANIL,3.0,0.0,1.0,0.0,0.0,2240.0,895.0,1950.0,534.0,1020.0,1980.0,2159.0,42500.0,0.39955357142857145,0.021058823529411765,0.4145437702640111,0.8705357142857143,0.04588235294117647,0.9031959240389069,0.23839285714285716,0.012564705882352941,0.24733672996757758,0.45535714285714285,0.024,0.47244094488188976,42500.0
676,FAMOTIDINE,0.0,0.0,0.0,0.0,0.0,2880.0,590.0,1470.0,377.0,1380.0,1982.0,2065.0,37300.0,0.2048611111111111,0.01581769436997319,0.2857142857142857,0.5104166666666666,0.03941018766756032,0.711864406779661,0.13090277777777778,0.010107238605898123,0.18256658595641648,0.4791666666666667,0.036997319034852545,0.6682808716707022,37300.0
677,BUSPIRONE,3.0,0.0,1.0,0.0,0.0,4630.0,2020.0,3140.0,1300.0,2700.0,1979.0,2712.0,44600.0,0.43628509719222464,0.045291479820627804,0.7448377581120944,0.6781857451403888,0.07040358744394619,1.1578171091445428,0.28077753779697623,0.02914798206278027,0.47935103244837757,0.5831533477321814,0.06053811659192825,0.995575221238938,44600.0
678,AZTREONAM,0.0,0.0,0.0,0.0,0.0,1610.0,105.0,372.0,52.0,123.0,1982.0,3217.0,52800.0,0.06521739130434782,0.0019886363636363634,0.03263910475598383,0.231055900621118,0.007045454545454546,0.11563568542119988,0.03229813664596273,0.000984848484848485,0.01616412806963009,0.07639751552795031,0.0023295454545454544,0.038234379857009636,52800.0
679,IOHEXOL,0.0,0.0,0.0,0.0,0.0,354.0,57.0,182.0,32.0,72.0,1980.0,5355.0,33100.0,0.16101694915254236,0.0017220543806646526,0.010644257703081233,0.5141242937853108,0.0054984894259818735,0.03398692810457516,0.0903954802259887,0.0009667673716012085,0.005975723622782446,0.2033898305084746,0.002175226586102719,0.013445378151260505,33100.0
680,AMIODARONE,6.0,1.0,1.0,1.0,0.0,9450.0,2660.0,7550.0,1680.0,3980.0,1970.0,8772.0,191000.0,0.2814814814814815,0.013926701570680627,0.3032375740994072,0.798941798941799,0.03952879581151832,0.8606931144550843,0.17777777777777778,0.008795811518324608,0.19151846785225718,0.4211640211640212,0.020837696335078534,0.4537163702690378,191000.0
681,CLOBETASOL,0.0,0.0,0.0,0.0,0.0,312.0,51.0,169.0,32.0,51.0,1975.0,1464.0,24000.0,0.16346153846153846,0.002125,0.03483606557377049,0.5416666666666666,0.0070416666666666666,0.11543715846994536,0.10256410256410256,0.0013333333333333333,0.02185792349726776,0.16346153846153846,0.002125,0.03483606557377049,24000.0
682,FLECAINIDE,2.0,1.0,0.0,0.0,0.0,2180.0,935.0,1790.0,469.0,1060.0,1977.0,2151.0,23700.0,0.4288990825688073,0.039451476793248945,0.43468154346815435,0.8211009174311926,0.07552742616033756,0.8321710832171083,0.21513761467889908,0.01978902953586498,0.21803812180381218,0.48623853211009177,0.04472573839662447,0.49279404927940496,23700.0
683,LEUPROLIDE,0.0,0.0,0.0,0.0,0.0,1340.0,133.0,671.0,95.0,134.0,1980.0,3109.0,38300.0,0.09925373134328358,0.003472584856396867,0.04277902862656803,0.5007462686567165,0.01751958224543081,0.21582502412351237,0.0708955223880597,0.0024804177545691905,0.030556449018977163,0.1,0.0034986945169712793,0.043100675458346734,38300.0
684,QUAZEPAM,3.0,0.0,1.0,0.0,1.0,320.0,163.0,287.0,67.0,160.0,1979.0,130.0,3530.0,0.509375,0.046175637393767704,1.2538461538461538,0.896875,0.08130311614730878,2.207692307692308,0.209375,0.018980169971671387,0.5153846153846153,0.5,0.0453257790368272,1.2307692307692308,3530.0
685,MIDAZOLAM,4.0,0.0,1.0,0.0,0.0,18500.0,8300.0,16700.0,4300.0,8580.0,1978.0,13639.0,380000.0,0.4486486486486487,0.021842105263157895,0.608549013857321,0.9027027027027027,0.04394736842105263,1.224429943544248,0.23243243243243245,0.011315789473684211,0.3152723806730699,0.46378378378378377,0.022578947368421053,0.6290783781802185,380000.0
686,LEVOCARNITINE,0.0,0.0,0.0,0.0,0.0,175.0,11.0,36.0,6.0,15.0,1953.0,16230.0,3930.0,0.06285714285714286,0.0027989821882951653,0.0006777572396796057,0.2057142857142857,0.00916030534351145,0.0022181146025878,0.03428571428571429,0.0015267175572519084,0.0003696857670979667,0.08571428571428572,0.003816793893129771,0.0009242144177449168,3930.0
687,DRONABINOL,2.0,0.0,1.0,0.0,1.0,686.0,193.0,523.0,90.0,279.0,1971.0,5727.0,13800.0,0.2813411078717201,0.01398550724637681,0.033700017461148944,0.7623906705539358,0.03789855072463768,0.09132180897503056,0.13119533527696792,0.006521739130434782,0.01571503404924044,0.4067055393586006,0.020217391304347826,0.04871660555264536,13800.0
688,CILASTATIN,0.0,0.0,0.0,0.0,0.0,617.0,105.0,309.0,55.0,107.0,1983.0,1468.0,25200.0,0.17017828200972449,0.004166666666666667,0.07152588555858311,0.5008103727714749,0.012261904761904762,0.21049046321525886,0.08914100486223663,0.0021825396825396826,0.03746594005449591,0.17341977309562398,0.004246031746031746,0.07288828337874659,25200.0
689,PENTOXIFYLLINE,1.0,1.0,0.0,0.0,0.0,2290.0,249.0,1110.0,91.0,185.0,1975.0,4745.0,65200.0,0.10873362445414847,0.0038190184049079756,0.05247629083245522,0.4847161572052402,0.017024539877300612,0.2339304531085353,0.03973799126637555,0.0013957055214723927,0.019178082191780823,0.08078602620087336,0.0028374233128834357,0.03898840885142255,65200.0
690,GLIPIZIDE,2.0,0.0,0.0,0.0,1.0,3080.0,1380.0,2730.0,659.0,2280.0,1975.0,1060.0,23800.0,0.44805194805194803,0.05798319327731093,1.3018867924528301,0.8863636363636364,0.11470588235294117,2.5754716981132075,0.21396103896103896,0.0276890756302521,0.6216981132075472,0.7402597402597403,0.0957983193277311,2.150943396226415,23800.0
691,GLYBURIDE,3.0,0.0,1.0,0.0,1.0,2690.0,708.0,2000.0,762.0,1260.0,1970.0,10301.0,22100.0,0.2631970260223048,0.03203619909502262,0.06873119114649064,0.7434944237918215,0.09049773755656108,0.19415590719347636,0.283271375464684,0.034479638009049775,0.07397340064071449,0.4684014869888476,0.05701357466063348,0.1223182215318901,22100.0
692,SUFENTANIL,1.0,0.0,1.0,0.0,0.0,1170.0,1480.0,3850.0,757.0,2390.0,1976.0,2811.0,61800.0,1.264957264957265,0.02394822006472492,0.5265030238349342,3.2905982905982905,0.06229773462783172,1.3696193525435787,0.647008547008547,0.012249190938511326,0.26929918178584134,2.0427350427350426,0.03867313915857605,0.8502312344361437,61800.0
693,NALTREXONE,0.0,0.0,0.0,0.0,0.0,2170.0,396.0,1140.0,180.0,381.0,1975.0,9337.0,87600.0,0.1824884792626728,0.00452054794520548,0.04241190960694013,0.5253456221198156,0.013013698630136987,0.12209489129270644,0.08294930875576037,0.002054794520547945,0.019278140730427332,0.17557603686635945,0.004349315068493151,0.04080539787940452,87600.0
694,ISOFLURANE,1.0,0.0,0.0,0.0,0.0,12400.0,1060.0,2920.0,404.0,857.0,1975.0,13544.0,243000.0,0.08548387096774193,0.0043621399176954736,0.07826343768458358,0.23548387096774193,0.012016460905349795,0.21559362079149438,0.03258064516129032,0.0016625514403292181,0.02982870643827525,0.06911290322580645,0.0035267489711934157,0.06327525103366805,243000.0
695,DAUNORUBICIN,0.0,0.0,0.0,0.0,0.0,8980.0,1520.0,3530.0,432.0,1510.0,1965.0,59988.0,83800.0,0.16926503340757237,0.018138424821002388,0.02533840101353604,0.3930957683741648,0.04212410501193317,0.058845102353804093,0.048106904231625836,0.0051551312649164675,0.0072014402880576115,0.16815144766146994,0.01801909307875895,0.02517170100686804,83800.0
696,VERAPAMIL,5.0,1.0,1.0,1.0,1.0,23200.0,6720.0,17900.0,4150.0,9220.0,1964.0,23680.0,348000.0,0.2896551724137931,0.019310344827586208,0.28378378378378377,0.771551724137931,0.0514367816091954,0.7559121621621622,0.1788793103448276,0.01192528735632184,0.17525337837837837,0.39741379310344827,0.026494252873563218,0.3893581081081081,348000.0
697,DESMOPRESSIN,0.0,0.0,0.0,0.0,0.0,751.0,124.0,491.0,55.0,156.0,1967.0,4819.0,29800.0,0.16511318242343542,0.004161073825503355,0.025731479560074703,0.6537949400798935,0.016476510067114095,0.10188835858061839,0.07323568575233022,0.0018456375838926174,0.011413156256484747,0.20772303595206393,0.00523489932885906,0.032371861382029465,29800.0
698,METOPROLOL,4.0,0.0,1.0,0.0,1.0,11500.0,3920.0,8570.0,2240.0,5380.0,1974.0,7412.0,170000.0,0.3408695652173913,0.023058823529411764,0.5288720992984349,0.7452173913043478,0.05041176470588235,1.1562331354560174,0.19478260869565217,0.013176470588235295,0.3022126281705343,0.4678260869565217,0.03164705882352941,0.7258499730167296,170000.0
699,SULINDAC,0.0,0.0,0.0,0.0,0.0,5710.0,2100.0,3370.0,1060.0,2730.0,1976.0,1826.0,74400.0,0.36777583187390545,0.028225806451612902,1.1500547645125958,0.5901926444833625,0.04529569892473118,1.845564074479737,0.18563922942206654,0.01424731182795699,0.5805038335158818,0.47810858143607704,0.03669354838709677,1.4950711938663745,74400.0
700,LORAZEPAM,0.0,0.0,0.0,0.0,0.0,3910.0,1460.0,2940.0,522.0,1320.0,1974.0,3941.0,104000.0,0.3734015345268542,0.014038461538461538,0.37046434914996196,0.7519181585677749,0.02826923076923077,0.7460035523978685,0.13350383631713555,0.005019230769230769,0.13245369195635626,0.3375959079283887,0.012692307692307692,0.33494037046434916,104000.0
701,CYCLOBENZAPRINE,3.0,1.0,1.0,0.0,0.0,642.0,326.0,508.0,138.0,269.0,1966.0,252.0,10900.0,0.5077881619937694,0.029908256880733945,1.2936507936507937,0.7912772585669782,0.04660550458715596,2.015873015873016,0.21495327102803738,0.012660550458715596,0.5476190476190477,0.4190031152647975,0.024678899082568807,1.0674603174603174,10900.0
702,CIMETIDINE,0.0,0.0,0.0,0.0,0.0,11100.0,3420.0,7360.0,1600.0,3410.0,1975.0,9724.0,154000.0,0.3081081081081081,0.022207792207792208,0.3517071164129988,0.6630630630630631,0.047792207792207796,0.7568901686548746,0.14414414414414414,0.01038961038961039,0.16454134101192924,0.30720720720720723,0.02214285714285714,0.3506787330316742,154000.0
703,METOCLOPRAMIDE,3.0,1.0,1.0,0.0,0.0,5150.0,954.0,3400.0,360.0,2220.0,1968.0,5553.0,99300.0,0.18524271844660195,0.00960725075528701,0.17179902755267423,0.6601941747572816,0.03423967774420947,0.612281649558797,0.06990291262135923,0.0036253776435045317,0.06482982171799027,0.43106796116504853,0.022356495468277945,0.3997839005942734,99300.0
704,PRAZOSIN,0.0,0.0,0.0,0.0,0.0,2440.0,432.0,1340.0,222.0,449.0,1974.0,12666.0,69300.0,0.17704918032786884,0.006233766233766234,0.03410705826622454,0.5491803278688525,0.019336219336219335,0.10579504184430759,0.09098360655737706,0.0032034632034632035,0.01752723827569872,0.18401639344262294,0.006479076479076479,0.03544923417021949,69300.0
705,LOMUSTINE,0.0,0.0,0.0,0.0,0.0,863.0,124.0,382.0,70.0,117.0,1972.0,2191.0,22700.0,0.1436848203939745,0.005462555066079295,0.05659516202647193,0.4426419466975666,0.01682819383259912,0.17434961204929256,0.08111239860950174,0.0030837004405286344,0.03194888178913738,0.13557358053302435,0.005154185022026431,0.053400273847558195,22700.0
706,LOPERAMIDE,4.0,0.0,1.0,1.0,0.0,2960.0,751.0,2350.0,557.0,862.0,1975.0,1778.0,37900.0,0.2537162162162162,0.019815303430079156,0.42238470191226096,0.793918918918919,0.06200527704485488,1.3217097862767153,0.18817567567567567,0.014696569920844327,0.31327334083239594,0.29121621621621624,0.02274406332453826,0.484814398200225,37900.0
707,NAPROXEN,3.0,1.0,0.0,1.0,1.0,19800.0,5950.0,13600.0,2890.0,9790.0,1974.0,6338.0,146000.0,0.3005050505050505,0.040753424657534246,0.9387819501420006,0.6868686868686869,0.09315068493150686,2.145787314610287,0.14595959595959596,0.019794520547945206,0.45597980435468605,0.49444444444444446,0.06705479452054794,1.5446513095613759,146000.0
708,MITOMYCIN,0.0,0.0,0.0,0.0,0.0,9480.0,706.0,2110.0,288.0,509.0,1962.0,19105.0,306000.0,0.07447257383966245,0.0023071895424836603,0.03695367704789322,0.22257383966244726,0.006895424836601307,0.11044229259356189,0.030379746835443037,0.0009411764705882353,0.015074587804239727,0.05369198312236287,0.0016633986928104576,0.02664224025124313,306000.0
709,CEFAZOLIN,0.0,0.0,0.0,0.0,0.0,1850.0,253.0,604.0,122.0,265.0,1972.0,5145.0,90600.0,0.13675675675675675,0.002792494481236203,0.049173955296404274,0.3264864864864865,0.006666666666666667,0.1173955296404276,0.06594594594594595,0.0013465783664459161,0.02371234207968902,0.14324324324324325,0.002924944812362031,0.05150631681243926,90600.0
710,TRIMETHOPRIM,6.0,1.0,1.0,1.0,1.0,7210.0,1150.0,3080.0,847.0,1470.0,1968.0,18985.0,189000.0,0.15950069348127602,0.006084656084656085,0.06057413747695549,0.42718446601941745,0.016296296296296295,0.16223334211219384,0.11747572815533981,0.004481481481481481,0.044614169080853305,0.20388349514563106,0.0077777777777777776,0.07742954964445616,189000.0
711,BUPIVACAINE,3.0,0.0,1.0,0.0,0.0,2350.0,292.0,720.0,107.0,799.0,1970.0,14634.0,123000.0,0.12425531914893617,0.0023739837398373985,0.01995353286866202,0.30638297872340425,0.005853658536585366,0.04920049200492005,0.04553191489361702,0.0008699186991869918,0.007311739784064507,0.34,0.006495934959349594,0.05459887932212656,123000.0
712,DESONIDE,1.0,0.0,1.0,0.0,0.0,61.0,10.0,26.0,3.0,5.0,1973.0,106.0,3340.0,0.16393442622950818,0.0029940119760479044,0.09433962264150944,0.4262295081967213,0.007784431137724551,0.24528301886792453,0.04918032786885246,0.0008982035928143712,0.02830188679245283,0.08196721311475409,0.0014970059880239522,0.04716981132075472,3340.0
713,MEGESTROL,2.0,0.0,1.0,0.0,0.0,2520.0,940.0,1920.0,74.0,1530.0,1964.0,1624.0,23800.0,0.373015873015873,0.03949579831932773,0.5788177339901478,0.7619047619047619,0.08067226890756303,1.1822660098522169,0.029365079365079365,0.0031092436974789915,0.04556650246305419,0.6071428571428571,0.06428571428571428,0.9421182266009852,23800.0
714,MINOCYCLINE HYDROCHLORIDE,0.0,0.0,0.0,0.0,0.0,2580.0,919.0,1130.0,49.0,908.0,1969.0,7879.0,14400.0,0.3562015503875969,0.06381944444444444,0.11663916740703135,0.437984496124031,0.07847222222222222,0.1434192156365021,0.018992248062015504,0.0034027777777777776,0.006219063332910267,0.351937984496124,0.06305555555555556,0.11524305114862292,14400.0
715,NALOXONE,2.0,0.0,0.0,0.0,0.0,5310.0,788.0,2590.0,421.0,783.0,1969.0,29845.0,294000.0,0.14839924670433144,0.0026802721088435375,0.02640308259339923,0.487758945386064,0.008809523809523809,0.08678170547830458,0.07928436911487759,0.0014319727891156462,0.014106215446473447,0.14745762711864407,0.002663265306122449,0.026235550343441112,294000.0
716,RIFAMPIN,0.0,0.0,0.0,0.0,0.0,20200.0,6650.0,15400.0,4220.0,8150.0,1968.0,16711.0,89100.0,0.3292079207920792,0.07463524130190796,0.3979414756747053,0.7623762376237624,0.1728395061728395,0.9215486805098438,0.2089108910891089,0.047362514029180694,0.2525282747890611,0.4034653465346535,0.0914702581369248,0.48770271078930044,89100.0
717,MITOTANE,0.0,0.0,0.0,0.0,0.0,705.0,115.0,427.0,66.0,108.0,1975.0,972.0,10900.0,0.16312056737588654,0.01055045871559633,0.1183127572016461,0.6056737588652482,0.039174311926605504,0.43930041152263377,0.09361702127659574,0.006055045871559633,0.06790123456790123,0.15319148936170213,0.009908256880733945,0.1111111111111111,10900.0
718,KETAMINE,3.0,0.0,1.0,0.0,1.0,16300.0,1340.0,2320.0,538.0,1780.0,1971.0,17918.0,785000.0,0.08220858895705521,0.0017070063694267516,0.07478513226922648,0.1423312883435583,0.0029554140127388533,0.12947873646612346,0.033006134969325154,0.0006853503184713376,0.030025672508092422,0.10920245398773006,0.002267515923566879,0.0993414443576292,785000.0
719,CLINDAMYCIN,2.0,0.0,1.0,0.0,0.0,4180.0,423.0,1780.0,218.0,989.0,1969.0,11167.0,166000.0,0.10119617224880383,0.0025481927710843373,0.03787946628458852,0.4258373205741627,0.010722891566265061,0.15939822691859945,0.05215311004784689,0.0013132530120481929,0.0195218053192442,0.23660287081339712,0.005957831325301205,0.08856452046207576,166000.0
720,CYTARABINE,1.0,0.0,1.0,0.0,0.0,5730.0,1130.0,2460.0,286.0,1940.0,1965.0,13936.0,112000.0,0.19720767888307156,0.010089285714285714,0.0810849598163031,0.4293193717277487,0.021964285714285714,0.1765212399540758,0.04991273996509599,0.0025535714285714285,0.020522388059701493,0.33856893542757416,0.01732142857142857,0.13920780711825487,112000.0
721,ALLOPURINOL,0.0,0.0,0.0,0.0,0.0,7850.0,862.0,2770.0,421.0,948.0,1966.0,7980.0,121000.0,0.10980891719745223,0.007123966942148761,0.10802005012531328,0.35286624203821654,0.022892561983471074,0.34711779448621555,0.05363057324840764,0.003479338842975207,0.05275689223057644,0.12076433121019109,0.007834710743801652,0.11879699248120301,121000.0
722,AMANTADINE,0.0,0.0,0.0,0.0,0.0,3340.0,423.0,1460.0,141.0,322.0,1964.0,5649.0,66200.0,0.12664670658682634,0.006389728096676737,0.07488050982474774,0.437125748502994,0.022054380664652568,0.2584528235085856,0.04221556886227545,0.0021299093655589123,0.02496016994158258,0.09640718562874251,0.00486404833836858,0.057001239157372985,66200.0
723,INDOMETHACIN,3.0,1.0,0.0,0.0,1.0,20300.0,3510.0,7560.0,936.0,5360.0,1964.0,39591.0,502000.0,0.1729064039408867,0.00699203187250996,0.08865651284382814,0.3724137931034483,0.015059760956175299,0.19095248920209137,0.046108374384236456,0.0018645418326693228,0.02364173675835417,0.26403940886699506,0.010677290836653386,0.1353843045136521,502000.0
724,NORTRIPTYLINE,4.0,1.0,1.0,0.0,0.0,4780.0,2070.0,3430.0,764.0,2040.0,1968.0,2364.0,53800.0,0.4330543933054393,0.03847583643122677,0.8756345177664975,0.7175732217573222,0.0637546468401487,1.4509306260575296,0.1598326359832636,0.014200743494423792,0.32318104906937395,0.42677824267782427,0.0379182156133829,0.8629441624365483,53800.0
725,DESIPRAMINE,1.0,0.0,0.0,0.0,0.0,6050.0,2550.0,4080.0,938.0,2240.0,1964.0,6199.0,41400.0,0.4214876033057851,0.06159420289855073,0.4113566704307146,0.6743801652892562,0.09855072463768116,0.6581706726891434,0.15504132231404957,0.022657004830917874,0.15131472818196484,0.3702479338842975,0.05410628019323672,0.3613486046136474,41400.0
726,OXANDROLONE,0.0,0.0,0.0,0.0,0.0,397.0,49.0,134.0,27.0,58.0,1972.0,438.0,9420.0,0.12342569269521411,0.005201698513800424,0.11187214611872145,0.33753148614609574,0.014225053078556264,0.3059360730593607,0.06801007556675064,0.0028662420382165603,0.06164383561643835,0.14609571788413098,0.0061571125265392785,0.1324200913242009,9420.0
727,NALBUPHINE,3.0,0.0,0.0,0.0,1.0,2590.0,1230.0,892.0,44.0,1320.0,1976.0,942.0,16500.0,0.4749034749034749,0.07454545454545454,1.305732484076433,0.3444015444015444,0.05406060606060606,0.9469214437367304,0.01698841698841699,0.0026666666666666666,0.04670912951167728,0.5096525096525096,0.08,1.4012738853503184,16500.0
728,VINCRISTINE,1.0,0.0,1.0,0.0,0.0,12900.0,1370.0,4810.0,899.0,2090.0,1963.0,26249.0,263000.0,0.1062015503875969,0.005209125475285171,0.052192464474837136,0.37286821705426354,0.01828897338403042,0.18324507600289536,0.06968992248062016,0.0034182509505703423,0.034248923768524515,0.162015503875969,0.007946768060836502,0.0796220808411749,263000.0
729,AMITRIPTYLINE,4.0,0.0,1.0,0.0,1.0,9690.0,3640.0,6350.0,1300.0,4570.0,1963.0,6790.0,138000.0,0.37564499484004127,0.0263768115942029,0.5360824742268041,0.6553147574819401,0.04601449275362319,0.93519882179676,0.13415892672858618,0.009420289855072464,0.19145802650957292,0.4716202270381837,0.033115942028985504,0.6730486008836525,138000.0
730,SULFAMETHOXAZOLE,2.0,0.0,1.0,0.0,1.0,5210.0,1010.0,2550.0,572.0,1270.0,1968.0,16988.0,187000.0,0.19385796545105566,0.005401069518716577,0.059453732046150225,0.4894433781190019,0.013636363636363636,0.15010595714622085,0.10978886756238004,0.003058823529411765,0.03367082646574052,0.2437619961612284,0.006791443850267379,0.07475865316694137,187000.0
731,MEPIVACAINE,0.0,0.0,0.0,0.0,0.0,386.0,82.0,172.0,17.0,72.0,1963.0,1849.0,21200.0,0.21243523316062177,0.0038679245283018866,0.04434829637641969,0.44559585492227977,0.008113207547169812,0.09302325581395349,0.04404145077720207,0.0008018867924528302,0.009194159004867496,0.18652849740932642,0.0033962264150943396,0.038939967550027044,21200.0
732,ETHOSUXIMIDE,2.0,0.0,1.0,0.0,0.0,1760.0,427.0,1340.0,208.0,528.0,1969.0,1303.0,22300.0,0.24261363636363636,0.019147982062780268,0.32770529547198773,0.7613636363636364,0.060089686098654706,1.0283960092095166,0.11818181818181818,0.009327354260089685,0.15963161933998465,0.3,0.02367713004484305,0.40521872601688413,22300.0
733,VALPROIC ACID,3.0,0.0,0.0,0.0,1.0,12300.0,2380.0,6930.0,1730.0,4440.0,1974.0,13731.0,130000.0,0.19349593495934958,0.018307692307692306,0.17333042021702716,0.5634146341463414,0.053307692307692306,0.5046974000436968,0.14065040650406505,0.013307692307692307,0.12599228024178866,0.36097560975609755,0.03415384615384615,0.32335590998470615,130000.0
734,SPIRONOLACTONE,0.0,0.0,0.0,0.0,0.0,4270.0,697.0,2150.0,351.0,802.0,1962.0,6492.0,108000.0,0.163231850117096,0.006453703703703704,0.10736290819470116,0.5035128805620609,0.01990740740740741,0.33117683302526185,0.08220140515222482,0.00325,0.05406654343807763,0.18782201405152224,0.007425925925925926,0.12353666050523722,108000.0
735,AMPICILLIN,0.0,0.0,0.0,0.0,0.0,26900.0,1320.0,2300.0,502.0,1110.0,1961.0,35504.0,662000.0,0.04907063197026022,0.0019939577039274924,0.03717890941865705,0.08550185873605948,0.003474320241691843,0.06478143307796305,0.01866171003717472,0.0007583081570996979,0.014139251915277151,0.041263940520446095,0.001676737160120846,0.03126408292023434,662000.0
736,CHLORTHALIDONE,0.0,0.0,0.0,0.0,0.0,451.0,79.0,251.0,38.0,126.0,1963.0,1102.0,22400.0,0.17516629711751663,0.003526785714285714,0.07168784029038112,0.5565410199556541,0.011205357142857144,0.2277676950998185,0.08425720620842572,0.0016964285714285714,0.034482758620689655,0.2793791574279379,0.005625,0.11433756805807622,22400.0
737,CYCLOPHOSPHAMIDE,0.0,0.0,0.0,0.0,0.0,18100.0,3690.0,8770.0,1820.0,3840.0,1964.0,61299.0,768000.0,0.20386740331491712,0.0048046875,0.060196740566730286,0.4845303867403315,0.011419270833333333,0.14306921809491183,0.1005524861878453,0.0023697916666666667,0.02969053328765559,0.2121546961325967,0.005,0.06264376254098762,768000.0
738,CHLORHEXIDINE,0.0,0.0,0.0,0.0,0.0,5620.0,1320.0,2210.0,829.0,2270.0,1963.0,11125.0,217000.0,0.23487544483985764,0.00608294930875576,0.11865168539325843,0.3932384341637011,0.010184331797235022,0.19865168539325842,0.14750889679715304,0.0038202764976958525,0.07451685393258427,0.40391459074733094,0.010460829493087558,0.20404494382022473,217000.0
739,PHENTERMINE,1.0,0.0,1.0,0.0,0.0,717.0,145.0,355.0,55.0,120.0,1961.0,861.0,22800.0,0.20223152022315202,0.006359649122807017,0.16840882694541232,0.49511854951185497,0.015570175438596491,0.41231126596980255,0.07670850767085077,0.002412280701754386,0.06387921022067364,0.16736401673640167,0.005263157894736842,0.13937282229965156,22800.0
740,ISOSORBIDE DINITRATE,7.0,1.0,1.0,0.0,1.0,1550.0,197.0,625.0,108.0,266.0,1970.0,3262.0,37600.0,0.1270967741935484,0.0052393617021276595,0.060392397302268544,0.4032258064516129,0.016622340425531915,0.19160024524831393,0.0696774193548387,0.002872340425531915,0.03310852237890864,0.17161290322580644,0.007074468085106383,0.0815450643776824,37600.0
741,FLUPHENAZINE,3.0,0.0,1.0,0.0,0.0,1740.0,562.0,970.0,163.0,440.0,1969.0,1942.0,34500.0,0.32298850574712645,0.016289855072463767,0.2893923789907312,0.5574712643678161,0.028115942028985506,0.49948506694129763,0.09367816091954023,0.00472463768115942,0.0839340885684861,0.25287356321839083,0.012753623188405797,0.22657054582904224,34500.0
