,drug,CYP_l,CYP1A2_l,CYP3A4_l,CYP2C8_l,CYP2C9_l,cytochrome,CYP1A2,CYP3A4,CYP2C8,CYP2C9,year,count_pubmed,count_name,CYP1A2_norm_cyt,CYP1A2_norm_name,CYP1A2_norm_pubmed,CYP3A4_norm_cyt,CYP3A4_norm_name,CYP3A4_norm_pubmed,CYP2C8_norm_cyt,CYP2C8_norm_name,CYP2C8_norm_pubmed,CYP2C9_norm_cyt,CYP2C9_norm_name,CYP2C9_norm_pubmed,pubmed_count_full
12,TRIFAROTENE,4.0,0.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,2.0,2018.0,17.0,202.0,0.2,0.0049504950495049506,0.058823529411764705,0.6,0.01485148514851485,0.17647058823529413,0.4,0.009900990099009901,0.11764705882352941,0.4,0.009900990099009901,0.11764705882352941,202.0
13,UBROGEPANT,1.0,0.0,1.0,0.0,0.0,49.0,10.0,51.0,10.0,18.0,2006.0,62.0,868.0,0.20408163265306123,0.01152073732718894,0.16129032258064516,1.0408163265306123,0.0587557603686636,0.8225806451612904,0.20408163265306123,0.01152073732718894,0.16129032258064516,0.3673469387755102,0.020737327188940093,0.2903225806451613,868.0
14,LEMBOREXANT,2.0,0.0,1.0,0.0,0.0,35.0,11.0,31.0,7.0,9.0,2006.0,39.0,401.0,0.3142857142857143,0.02743142144638404,0.28205128205128205,0.8857142857142857,0.0773067331670823,0.7948717948717948,0.2,0.017456359102244388,0.1794871794871795,0.2571428571428571,0.022443890274314215,0.23076923076923078,401.0
15,CENOBAMATE,5.0,0.0,0.0,0.0,0.0,32.0,6.0,24.0,7.0,11.0,2006.0,34.0,239.0,0.1875,0.02510460251046025,0.17647058823529413,0.75,0.100418410041841,0.7058823529411765,0.21875,0.029288702928870293,0.20588235294117646,0.34375,0.04602510460251046,0.3235294117647059,239.0
16,LUMATEPERONE,3.0,1.0,1.0,1.0,0.0,10.0,4.0,10.0,2.0,4.0,2016.0,22.0,263.0,0.4,0.015209125475285171,0.18181818181818182,1.0,0.03802281368821293,0.45454545454545453,0.2,0.0076045627376425855,0.09090909090909091,0.4,0.015209125475285171,0.18181818181818182,263.0
17,LEVAMLODIPINE,3.0,0.0,1.0,0.0,0.0,10.0,3.0,5.0,2.0,3.0,2009.0,17.0,979.0,0.3,0.0030643513789581204,0.17647058823529413,0.5,0.005107252298263534,0.29411764705882354,0.2,0.0020429009193054137,0.11764705882352941,0.3,0.0030643513789581204,0.17647058823529413,979.0
18,CEFIDEROCOL,0.0,0.0,0.0,0.0,0.0,52.0,6.0,23.0,3.0,7.0,2006.0,152.0,2520.0,0.11538461538461539,0.002380952380952381,0.039473684210526314,0.4423076923076923,0.009126984126984128,0.1513157894736842,0.057692307692307696,0.0011904761904761906,0.019736842105263157,0.1346153846153846,0.002777777777777778,0.046052631578947366,2520.0
19,SOLRIAMFETOL,0.0,0.0,0.0,0.0,0.0,6.0,2.0,13.0,1.0,3.0,2006.0,47.0,392.0,0.3333333333333333,0.00510204081632653,0.0425531914893617,2.1666666666666665,0.03316326530612245,0.2765957446808511,0.16666666666666666,0.002551020408163265,0.02127659574468085,0.5,0.007653061224489796,0.06382978723404255,392.0
20,ALPELISIB,1.0,0.0,1.0,0.0,0.0,122.0,18.0,81.0,22.0,26.0,2013.0,199.0,2860.0,0.14754098360655737,0.006293706293706294,0.09045226130653267,0.6639344262295082,0.028321678321678322,0.40703517587939697,0.18032786885245902,0.007692307692307693,0.11055276381909548,0.21311475409836064,0.00909090909090909,0.1306532663316583,2860.0
21,BREXANOLONE,4.0,0.0,1.0,1.0,1.0,54.0,9.0,28.0,7.0,12.0,2006.0,58.0,865.0,0.16666666666666666,0.010404624277456647,0.15517241379310345,0.5185185185185185,0.03236994219653179,0.4827586206896552,0.12962962962962962,0.008092485549132947,0.1206896551724138,0.2222222222222222,0.013872832369942197,0.20689655172413793,865.0
22,RELEBACTAM,0.0,0.0,0.0,0.0,0.0,70.0,11.0,36.0,5.0,10.0,2006.0,167.0,2170.0,0.15714285714285714,0.005069124423963134,0.0658682634730539,0.5142857142857142,0.016589861751152075,0.2155688622754491,0.07142857142857142,0.002304147465437788,0.029940119760479042,0.14285714285714285,0.004608294930875576,0.059880239520958084,2170.0
23,TRICLABENDAZOLE,8.0,1.0,0.0,0.0,1.0,311.0,35.0,123.0,11.0,28.0,1983.0,547.0,6920.0,0.11254019292604502,0.0050578034682080926,0.06398537477148081,0.3954983922829582,0.01777456647398844,0.22486288848263253,0.03536977491961415,0.0015895953757225434,0.02010968921389397,0.09003215434083602,0.004046242774566474,0.051188299817184646,6920.0
